OBJECTID,geoid,County,Morning Temperature,Afternoon Temp Anomaly,Morning Temp Anomaly,Evening Temp Anomaly,Impervious Surface %,Tree Canopy %,Total population,Male pop under 5,Female pop under 5,65 and older %,65 and older,Poverty,Poverty %,Median Income,State,Region,"Percent of Population that is White alone, Non-Hispanic",Percent of Population that is Minority (non-White)
1314,48201314001,Harris County,79.98639876,0.165193707,1.159760023,0.615574117,73.96437659,0.089337176,2716,91,63,10.3,281,2583,16.2,63333,Texas,Houston,29.5,70.5
1315,48201314002,Harris County,80.10818707,0.314241286,1.281548334,0.64655049,71.18297456,0.046674017,6911,234,66,7,482,6888,19.8,50589,Texas,Houston,35.1,64.9
1316,48201314300,Harris County,80.57528427,0.542509025,1.748645534,0.716138296,81.50805009,0.008512545,3890,145,77,7.2,279,3890,16.9,34516,Texas,Houston,6.4,93.6
1317,48201314400,Harris County,80.88666119,0.585134027,2.060022447,0.917737582,70.48291572,0,3527,154,54,4.1,143,3527,23.3,56482,Texas,Houston,35.2,64.8
1318,48201320500,Harris County,78.31108677,-0.442450216,-0.515551968,-0.069411515,39.91787288,3.54350657,4583,146,69,6.3,290,4583,19.3,62431,Texas,Houston,6.1,93.9
1319,48201321800,Harris County,77.79411402,-0.355881072,-1.032524719,-0.141818145,51.61088154,1.901605386,4155,126,181,10.9,451,4155,14.5,65184,Texas,Houston,4.7,95.3
1320,48201321900,Harris County,78.37932619,-0.642628804,-0.447312549,-0.246836711,53.19108513,0.119747322,6006,174,257,8.8,526,6006,16.9,50379,Texas,Houston,9.7,90.3
1321,48201322000,Harris County,79.06960806,-0.394025253,0.242969317,-0.467742831,62.43830334,2.40704501,4912,137,316,3.6,177,4892,29.7,39286,Texas,Houston,8.3,91.7
1322,48201322100,Harris County,78.81148092,0.080869819,-0.015157822,0.024945686,56.8834229,0.702340094,4246,183,184,7.1,301,4246,17.3,43179,Texas,Houston,11.3,88.7
1323,48201322200,Harris County,78.57350748,-0.779531134,-0.253131255,-0.863795968,54.69590086,4.220071685,1633,61,29,7.5,123,1633,23,32232,Texas,Houston,9.8,90.2
1324,48201322600,Harris County,78.73622543,-1.103728397,-0.090413305,-0.552431154,50.24729632,0.117823129,5516,99,184,7.8,433,5516,20.3,53277,Texas,Houston,26.8,73.2
1325,48201322700,Harris County,78.18085999,-0.939347577,-0.645778751,-0.39995971,55.9995637,0.028814669,7002,432,225,7.7,539,7002,11.4,54295,Texas,Houston,20.6,79.4
1326,48201322800,Harris County,78.25570899,-0.784692452,-0.570929749,-0.017227919,49.31577432,0.151119809,6996,243,207,8.3,583,6932,17,53616,Texas,Houston,10.1,89.9
1327,48201322900,Harris County,78.32124464,-0.397445548,-0.505394098,0.057411215,55.54446855,0.09267503,4094,121,107,7,286,4069,9,52090,Texas,Houston,7.5,92.5
1328,48201323000,Harris County,79.25746015,0.120977583,0.430821413,0.210964328,63.8685567,0.095584668,6870,488,435,6.9,474,6804,33.6,31343,Texas,Houston,5.5,94.5
1329,48201323100,Harris County,79.24396744,-0.434106405,0.417328703,-0.221348777,60.64201313,0.195258479,4066,367,271,6.6,267,4066,26.2,37373,Texas,Houston,5.7,94.3
1330,48201323200,Harris County,78.23267142,-0.463506657,-0.593967317,-0.079287822,56.06889174,0.070051414,5727,231,297,11.7,670,5727,20.1,60921,Texas,Houston,19.6,80.4
1331,48201323300,Harris County,79.16726662,0.138717765,0.340627883,0.138289553,68.99308437,0.248836006,3310,198,119,14.1,466,3169,35.6,36154,Texas,Houston,14.6,85.4
1332,48201323400,Harris County,78.29417017,-0.404655377,-0.532468571,-0.205337426,53.40171326,0.303256445,8636,518,314,7.9,680,8636,22,47818,Texas,Houston,8.3,91.7
1333,48201323500,Harris County,78.70961795,-0.468890021,-0.117020784,-0.075509523,52.56555443,2.226133198,5671,261,403,5.6,318,5671,33.5,31159,Texas,Houston,10.3,89.7
1334,48201323600,Harris County,78.12528758,-0.804572876,-0.701351155,-0.371450226,43.26933193,1.345379931,8547,273,158,15,1285,8547,14.3,50638,Texas,Houston,32.3,67.7
1335,48201323701,Harris County,78.62186797,-0.551755368,-0.204770773,-0.379137099,57.72678019,0.082480257,4934,139,253,19.4,955,4480,11.6,54837,Texas,Houston,33.1,66.9
1336,48201323702,Harris County,78.32419308,-0.63344608,-0.502445655,-0.271653064,60.56621392,0.030651341,3183,0,257,10.3,328,3183,7.8,50980,Texas,Houston,36.9,63.1
1337,48201323801,Harris County,78.4429824,-0.522277379,-0.383656335,-0.400932479,61.80894309,0.102175013,3820,145,153,11.2,428,3820,10.1,62331,Texas,Houston,21.6,78.4
1338,48201323802,Harris County,78.2814263,-1.042514932,-0.54521244,-0.901857289,49.91703869,0.48188711,5018,229,193,10.2,511,4947,20.6,50250,Texas,Houston,17.7,82.3
1339,48201323900,Harris County,78.42064014,-1.040656208,-0.405998602,-0.751487548,46.0971519,1.851816444,3952,126,254,13.1,518,3892,27.6,32500,Texas,Houston,32.7,67.3
1340,48201324000,Harris County,78.90245879,-0.818768477,0.075820051,-0.421544659,44.56815359,0.992357986,5453,252,72,15.9,867,5453,13.6,74960,Texas,Houston,41.9,58.1
