,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Drought - Number of Events,Drought - Annualized Frequency,Drought - Expected Annual Loss Rate - National Percentile,Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
67,73055.0,T48201230300,Texas,TX,Harris,230300.0,2298.0,0.68,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.19,19.0,0.18,87.65,126.0,0.0,0.0
68,73056.0,T48201230400,Texas,TX,Harris,230400.0,3824.0,1.12,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.94,18.0,0.18,87.56,126.0,0.0,0.0
69,73057.0,T48201230500,Texas,TX,Harris,230500.0,4099.0,1.35,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.18,18.0,0.18,88.01,126.0,5.25,98.34
70,73058.0,T48201230600,Texas,TX,Harris,230600.0,2690.0,0.84,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.53,19.0,0.18,87.57,126.0,0.0,0.0
71,73059.0,T48201230700,Texas,TX,Harris,230700.0,2963.0,1.05,,0.01,79.43,266.0,12.09,0.0,2.0,0.12,52.15,19.0,0.18,87.97,126.0,5.25,96.76
72,73060.0,T48201230800,Texas,TX,Harris,230800.0,2662.0,0.72,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.63,19.0,0.18,87.84,126.0,0.0,0.0
73,73061.0,T48201230900,Texas,TX,Harris,230900.0,4947.0,2.48,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.87,19.0,0.18,87.31,126.0,5.25,94.66
74,73062.0,T48201231000,Texas,TX,Harris,231000.0,4727.0,1.61,,0.01,74.64,266.0,12.09,0.0,2.0,0.12,52.9,19.0,0.18,87.99,126.0,5.25,83.74
75,73063.0,T48201231100,Texas,TX,Harris,231100.0,4920.0,4.36,,0.01,75.41,266.0,12.09,0.0,2.0,0.12,52.07,18.0,0.18,87.26,126.0,5.25,79.34
76,73064.0,T48201231200,Texas,TX,Harris,231200.0,6800.0,5.45,,0.01,79.87,266.0,12.09,94.84,2.0,0.12,52.14,20.0,0.18,87.77,126.0,5.25,96.47
77,73065.0,T48201231300,Texas,TX,Harris,231300.0,4796.0,1.88,,0.01,74.4,266.0,12.09,0.0,2.0,0.12,51.95,19.0,0.18,87.54,126.0,5.25,98.65
78,73066.0,T48201231400,Texas,TX,Harris,231400.0,3347.0,1.31,,0.01,72.69,266.0,12.09,0.0,2.0,0.12,53.03,19.0,0.18,88.02,126.0,5.25,78.33
79,73067.0,T48201231500,Texas,TX,Harris,231500.0,2858.0,0.45,,0.01,74.56,266.0,12.09,0.0,2.0,0.12,52.21,19.0,0.18,87.89,126.0,5.25,80.29
80,73068.0,T48201231600,Texas,TX,Harris,231600.0,2915.0,0.65,,0.01,77.38,266.0,12.09,0.0,2.0,0.12,52.2,19.0,0.18,88.06,126.0,5.25,96.94
81,73069.0,T48201231700,Texas,TX,Harris,231700.0,4509.0,1.65,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.48,19.0,0.18,87.67,126.0,5.25,99.65
