OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
1019,Windsor Village Park,Windsor Village Park,PN4719,8.17,355715.69799357,2559.80366002549
1020,Unknown,Unknown,PN4725,0.22,9592.21913899732,406.089466820022
1021,Unknown,Unknown,PN4727,76.45,3330082.12928,8656.49561119251
1022,Beverly Hills Park,Beverly Hills Park,PN4728,22.81,993667.037412158,4111.76176927011
1023,Townwood Park,Townwood Park,PN4730,17.39,757658.594049384,4097.19847724914
1024,Dow Park 2,Dow Park 2,PN4731,4.7,204661.125031529,1854.28772242947
1025,Unknown,Unknown,PN4732,14.5,631491.038676798,3179.67339498806
1026,Unknown,Unknown,PN4736,153.13,6670231.22348931,11878.460548306
1027,Unknown,Unknown,PN4738,0.44,19039.3607463308,556.739541491442
1028,Unknown,Unknown,PN4741,3.75,163255.565367126,1859.81706969442
1029,Unknown,Unknown,PN4742,2.59,112803.074730655,1670.29577333148
1030,Gulf Palms Park,Gulf Palms Park,PN4744,6.54,284877.038436103,6711.04460833559
1031,Unknown,Unknown,PN4750,37.95,1653120.23772736,5916.48320600909
1032,Shoreacres Park,Shoreacres Park,PN4751,4.21,183276.819261253,1549.50156373974
1033,Cambridge Village Park,Cambridge Village Park,PN4756,84.25,3669931.78434679,9021.46140887291
1034,Bentwood Park,Bentwood Park,PN4757,8.07,351714.776435627,2398.28499117387
1035,Cloverland Park,Cloverland Park,PN4759,11.98,521719.841377916,2910.50119276517
1036,Almeda Plaza Park,Almeda Plaza Park,PN4760,1.51,65671.1914689603,1161.49390987771
1037,Unknown,Unknown,PN4767,6.99,304524.069884614,2331.69152231483
1038,Crestmont Park,Crestmont Park,PN4768,7.5,326868.931574908,2291.21029816714
1039,Unknown,Unknown,PN4770,9.28,404300.304621246,3279.2191069341
1040,Unknown,Unknown,PN4773,20.83,907537.889255594,4307.72388853676
1041,WILDCAT GC,WILDCAT GC,PN4774,440.75,19199131.611297,33679.0871654644
1042,Hager Park,Hager Park,PN4775,6.8,296188.441865822,2244.84312476155
1043,City of LaPorte Golf Course,City of LaPorte Golf Course,PN4776,152.95,6662673.28943515,71133.3266406188
1044,Unknown,Unknown,PN4777,6.95,302811.614312883,2692.0131516338
