,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile
256,73244,T48201311800,Texas,TX,Harris,311800,4325,0.98,,3.76,80.1
257,73245,T48201311900,Texas,TX,Harris,311900,2145,0.83,,3.76,84.15
258,73246,T48201312000,Texas,TX,Harris,312000,5745,0.73,,3.76,82.17
259,73247,T48201312200,Texas,TX,Harris,312200,2351,0.42,,0,0
260,73248,T48201312300,Texas,TX,Harris,312300,2324,0.55,,0,0
261,73249,T48201312400,Texas,TX,Harris,312400,1981,0.42,,0,0
262,73250,T48201312501,Texas,TX,Harris,312501,2474,0.38,,0,0
263,73251,T48201312502,Texas,TX,Harris,312502,2384,0.32,,0,0
264,73252,T48201312601,Texas,TX,Harris,312601,2797,0.18,,0,0
265,73253,T48201312602,Texas,TX,Harris,312602,2453,0.2,,0,0
266,73254,T48201312603,Texas,TX,Harris,312603,3052,0.4,,0.16,81.95
267,73255,T48201312700,Texas,TX,Harris,312700,1852,0.34,,0,0
268,73256,T48201312800,Texas,TX,Harris,312800,5476,0.36,,0,0
269,73257,T48201312901,Texas,TX,Harris,312901,1505,0.18,,0.01,78.16
270,73258,T48201312902,Texas,TX,Harris,312902,1801,0.38,,0.01,78.86
271,73259,T48201313000,Texas,TX,Harris,313000,2462,0.47,,0.01,79.59
272,73260,T48201313101,Texas,TX,Harris,313101,2297,0.27,,0,0
273,73261,T48201313102,Texas,TX,Harris,313102,2011,1.26,,0.01,78.01
274,73262,T48201313201,Texas,TX,Harris,313201,1610,0.56,,0.01,80.91
275,73263,T48201313202,Texas,TX,Harris,313202,2790,0.67,,3.76,78.44
276,73264,T48201313300,Texas,TX,Harris,313300,3156,0.89,,3.76,71.17
277,73265,T48201313400,Texas,TX,Harris,313400,3603,0.73,,0,0
278,73266,T48201313500,Texas,TX,Harris,313500,2645,0.63,,0,0
279,73267,T48201313600,Texas,TX,Harris,313600,4871,0.9,,0,0
280,73268,T48201313700,Texas,TX,Harris,313700,2256,0.52,,0,0
281,73269,T48201313801,Texas,TX,Harris,313801,2035,0.35,,0,0
282,73270,T48201313802,Texas,TX,Harris,313802,2797,0.51,,0,0
283,73271,T48201313901,Texas,TX,Harris,313901,2211,0.83,,0,0
284,73272,T48201313902,Texas,TX,Harris,313902,2592,0.25,,0,0
285,73273,T48201314001,Texas,TX,Harris,314001,3104,0.55,,0,0
286,73274,T48201314003,Texas,TX,Harris,314003,2591,0.34,,0,0
287,73275,T48201314004,Texas,TX,Harris,314004,1668,0.07,,0,0
288,73276,T48201314005,Texas,TX,Harris,314005,2468,0.3,,0,0
289,73277,T48201314301,Texas,TX,Harris,314301,2363,0.12,,0,0
290,73278,T48201314302,Texas,TX,Harris,314302,2422,0.47,,0,0
291,73279,T48201314401,Texas,TX,Harris,314401,1545,0.19,,0.01,76.36
292,73280,T48201314402,Texas,TX,Harris,314402,1717,0.74,,0.01,78.23
293,73281,T48201320100,Texas,TX,Harris,320100,2408,0.38,,0.01,76.37
294,73282,T48201320201,Texas,TX,Harris,320201,2443,0.84,,3.76,80.09
295,73283,T48201320202,Texas,TX,Harris,320202,3648,0.79,,3.76,83.4
296,73284,T48201320500,Texas,TX,Harris,320500,4300,2.27,,3.76,76.44
297,73285,T48201320601,Texas,TX,Harris,320601,2474,0.55,,0.76,76.92
298,73286,T48201320602,Texas,TX,Harris,320602,4460,0.59,,3.76,80.61
299,73287,T48201320700,Texas,TX,Harris,320700,4550,1.35,,3.76,80.5
300,73288,T48201320800,Texas,TX,Harris,320800,5023,1.14,,0.01,85.49
301,73289,T48201320901,Texas,TX,Harris,320901,3758,0.41,,0.01,81.41
302,73290,T48201320902,Texas,TX,Harris,320902,3722,0.5,,0.01,83.14
303,73291,T48201321001,Texas,TX,Harris,321001,2776,0.51,,0,72.59
304,73292,T48201321002,Texas,TX,Harris,321002,5450,1.04,,0.01,80.56
305,73293,T48201321101,Texas,TX,Harris,321101,4008,1.16,,0.01,73.4
306,73294,T48201321102,Texas,TX,Harris,321102,4098,1,,0,0
307,73295,T48201321200,Texas,TX,Harris,321200,4512,1.16,,0,0
308,73296,T48201321301,Texas,TX,Harris,321301,3364,0.22,,0.01,85.99
309,73297,T48201321302,Texas,TX,Harris,321302,1892,0.4,,0.01,77.1
310,73298,T48201321401,Texas,TX,Harris,321401,4321,0.81,,0.01,80.32
311,73299,T48201321402,Texas,TX,Harris,321402,4077,0.76,,0.01,77.87
312,73300,T48201321500,Texas,TX,Harris,321500,2717,0.37,,0.01,83.86
313,73301,T48201321600,Texas,TX,Harris,321600,6792,1.13,,0.01,80.89
314,73302,T48201321700,Texas,TX,Harris,321700,3108,0.76,,3.76,80.7
315,73303,T48201321800,Texas,TX,Harris,321800,3927,0.51,,3.76,81.71
316,73304,T48201321900,Texas,TX,Harris,321900,5657,0.96,,0,72.32
317,73305,T48201322000,Texas,TX,Harris,322000,3771,0.28,,3.76,83.97
318,73306,T48201322100,Texas,TX,Harris,322100,4142,0.85,,0.01,76.04
319,73307,T48201322200,Texas,TX,Harris,322200,1831,0.37,,3.76,81.35
320,73308,T48201322600,Texas,TX,Harris,322600,5237,0.97,,0.01,71.13
321,73309,T48201322701,Texas,TX,Harris,322701,2807,0.31,,0,0
322,73310,T48201322702,Texas,TX,Harris,322702,4336,0.5,,0.01,74.97
323,73311,T48201322800,Texas,TX,Harris,322800,6246,1.22,,0,0
324,73312,T48201322900,Texas,TX,Harris,322900,4072,0.65,,0.01,74.15
325,73313,T48201323000,Texas,TX,Harris,323000,5821,0.55,,0.01,72.3
326,73314,T48201323100,Texas,TX,Harris,323100,3492,0.8,,0,0
327,73315,T48201323200,Texas,TX,Harris,323200,5595,0.82,,0.01,74.89
328,73316,T48201323300,Texas,TX,Harris,323300,3397,0.51,,0,0
329,73317,T48201323400,Texas,TX,Harris,323400,7275,0.78,,0.01,78.29
330,73318,T48201323500,Texas,TX,Harris,323500,5349,1.04,,0.01,83.55
331,73319,T48201323601,Texas,TX,Harris,323601,4041,1.12,,0.01,73.99
332,73320,T48201323602,Texas,TX,Harris,323602,4963,0.88,,0.01,70.39
333,73321,T48201323701,Texas,TX,Harris,323701,4397,0.9,,0,0
334,73322,T48201323702,Texas,TX,Harris,323702,3252,0.41,,0,71.6
335,73323,T48201323801,Texas,TX,Harris,323801,4068,0.52,,0,0
336,73324,T48201323802,Texas,TX,Harris,323802,5005,0.94,,0.01,72.9
337,73325,T48201323900,Texas,TX,Harris,323900,3710,1.11,,0.01,71.96
338,73326,T48201324000,Texas,TX,Harris,324000,5817,3.11,,0.01,81.21
339,73327,T48201324101,Texas,TX,Harris,324101,5279,1.15,,3.76,84.71
340,73328,T48201324102,Texas,TX,Harris,324102,0,7.78,,3.76,84.43
341,73329,T48201324200,Texas,TX,Harris,324200,1279,2.86,,3.76,84.11
342,73330,T48201330101,Texas,TX,Harris,330101,5091,0.45,,0,0
343,73331,T48201330102,Texas,TX,Harris,330102,2703,0.55,,0,0
344,73332,T48201330200,Texas,TX,Harris,330200,4290,1.71,,0,0
345,73333,T48201330301,Texas,TX,Harris,330301,7917,1.24,,0,0
346,73334,T48201330302,Texas,TX,Harris,330302,5713,2.36,,0,0
347,73335,T48201330303,Texas,TX,Harris,330303,4492,2.08,,0,0
348,73336,T48201330400,Texas,TX,Harris,330400,4863,1.71,,0,0
349,73337,T48201330500,Texas,TX,Harris,330500,4745,1.07,,0,0
