,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile
285,73273,T48201314001,Texas,TX,Harris,314001,3104,0.55,2,0.12,52.78
286,73274,T48201314003,Texas,TX,Harris,314003,2591,0.34,2,0.12,52.51
287,73275,T48201314004,Texas,TX,Harris,314004,1668,0.07,2,0.12,52.63
288,73276,T48201314005,Texas,TX,Harris,314005,2468,0.3,2,0.12,52.43
289,73277,T48201314301,Texas,TX,Harris,314301,2363,0.12,2,0.12,52.87
290,73278,T48201314302,Texas,TX,Harris,314302,2422,0.47,2,0.12,52.76
291,73279,T48201314401,Texas,TX,Harris,314401,1545,0.19,2,0.12,52.35
292,73280,T48201314402,Texas,TX,Harris,314402,1717,0.74,2,0.12,52.33
293,73281,T48201320100,Texas,TX,Harris,320100,2408,0.38,2,0.12,51.96
294,73282,T48201320201,Texas,TX,Harris,320201,2443,0.84,2,0.12,52.12
295,73283,T48201320202,Texas,TX,Harris,320202,3648,0.79,2,0.12,52.58
296,73284,T48201320500,Texas,TX,Harris,320500,4300,2.27,2,0.12,52.57
297,73285,T48201320601,Texas,TX,Harris,320601,2474,0.55,2,0.12,53
298,73286,T48201320602,Texas,TX,Harris,320602,4460,0.59,2,0.12,52.91
299,73287,T48201320700,Texas,TX,Harris,320700,4550,1.35,2,0.12,52.45
300,73288,T48201320800,Texas,TX,Harris,320800,5023,1.14,2,0.12,51.86
301,73289,T48201320901,Texas,TX,Harris,320901,3758,0.41,2,0.12,53.03
302,73290,T48201320902,Texas,TX,Harris,320902,3722,0.5,2,0.12,52.2
303,73291,T48201321001,Texas,TX,Harris,321001,2776,0.51,2,0.12,52.16
304,73292,T48201321002,Texas,TX,Harris,321002,5450,1.04,2,0.12,51.84
305,73293,T48201321101,Texas,TX,Harris,321101,4008,1.16,2,0.12,52.81
306,73294,T48201321102,Texas,TX,Harris,321102,4098,1,2,0.12,52.59
307,73295,T48201321200,Texas,TX,Harris,321200,4512,1.16,2,0.12,52.57
308,73296,T48201321301,Texas,TX,Harris,321301,3364,0.22,2,0.12,52.63
309,73297,T48201321302,Texas,TX,Harris,321302,1892,0.4,2,0.12,52.56
310,73298,T48201321401,Texas,TX,Harris,321401,4321,0.81,2,0.12,51.79
311,73299,T48201321402,Texas,TX,Harris,321402,4077,0.76,2,0.12,51.71
312,73300,T48201321500,Texas,TX,Harris,321500,2717,0.37,2,0.12,52.14
313,73301,T48201321600,Texas,TX,Harris,321600,6792,1.13,2,0.12,52.88
314,73302,T48201321700,Texas,TX,Harris,321700,3108,0.76,2,0.12,52.14
315,73303,T48201321800,Texas,TX,Harris,321800,3927,0.51,2,0.12,51.69
316,73304,T48201321900,Texas,TX,Harris,321900,5657,0.96,2,0.12,53.09
317,73305,T48201322000,Texas,TX,Harris,322000,3771,0.28,2,0.12,52.63
318,73306,T48201322100,Texas,TX,Harris,322100,4142,0.85,2,0.12,52.83
319,73307,T48201322200,Texas,TX,Harris,322200,1831,0.37,2,0.12,51.6
320,73308,T48201322600,Texas,TX,Harris,322600,5237,0.97,2.08,0.13,53.18
