,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
426,73414,T48201341400,Texas,TX,Harris,341400,5663,6.08,22,0.21,88.42
427,73415,T48201341501,Texas,TX,Harris,341501,6736,1.66,22,0.21,88.45
428,73416,T48201341502,Texas,TX,Harris,341502,4361,1.88,22,0.21,88.47
429,73417,T48201341600,Texas,TX,Harris,341600,6711,8.21,22,0.22,88.45
430,73418,T48201341700,Texas,TX,Harris,341700,2723,1.14,20,0.24,88.44
431,73419,T48201341800,Texas,TX,Harris,341800,2489,1.77,20,0.21,88.46
432,73420,T48201342001,Texas,TX,Harris,342001,6812,1.97,20,0.21,88.31
433,73421,T48201342002,Texas,TX,Harris,342002,4436,1.42,19,0.21,88.35
434,73422,T48201342100,Texas,TX,Harris,342100,4292,1.81,20,0.21,88.32
435,73423,T48201342200,Texas,TX,Harris,342200,3918,1.12,20,0.21,88.33
436,73424,T48201342300,Texas,TX,Harris,342300,7213,1.09,20,0.21,88.73
437,73425,T48201342400,Texas,TX,Harris,342400,4007,1.33,20,0.19,88.05
438,73426,T48201342500,Texas,TX,Harris,342500,6240,2.53,20,0.19,87.8
439,73427,T48201342700,Texas,TX,Harris,342700,5145,1.36,21,0.19,87.95
440,73428,T48201342801,Texas,TX,Harris,342801,4867,0.89,20,0.2,88.21
441,73429,T48201342802,Texas,TX,Harris,342802,3988,2.01,21,0.18,87.63
442,73430,T48201342900,Texas,TX,Harris,342900,7084,2.32,20,0.21,88.34
443,73431,T48201343000,Texas,TX,Harris,343000,7460,2.29,20,0.21,88.27
444,73432,T48201343100,Texas,TX,Harris,343100,4556,0.8,20,0.21,88.54
445,73433,T48201343200,Texas,TX,Harris,343200,5089,1.83,21,0.21,88.33
446,73434,T48201343301,Texas,TX,Harris,343301,4400,4.51,22,0.2,87.97
447,73435,T48201343302,Texas,TX,Harris,343302,4876,1.76,20,0.21,88.38
448,73436,T48201343601,Texas,TX,Harris,343601,11,25.57,21,0.22,87.37
449,73437,T48201343602,Texas,TX,Harris,343602,3341,2.15,21,0.22,88.53
