,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
285,73273,T48201314001,Texas,TX,Harris,314001,3104,0.55,126,5.25,70.74
286,73274,T48201314003,Texas,TX,Harris,314003,2591,0.34,126,0,0
287,73275,T48201314004,Texas,TX,Harris,314004,1668,0.07,126,0,0
288,73276,T48201314005,Texas,TX,Harris,314005,2468,0.3,126,0,0
289,73277,T48201314301,Texas,TX,Harris,314301,2363,0.12,126,0,0
290,73278,T48201314302,Texas,TX,Harris,314302,2422,0.47,126,5.25,43.25
291,73279,T48201314401,Texas,TX,Harris,314401,1545,0.19,126,5.25,80.32
292,73280,T48201314402,Texas,TX,Harris,314402,1717,0.74,126,5.25,95.54
293,73281,T48201320100,Texas,TX,Harris,320100,2408,0.38,126,5.25,90.36
294,73282,T48201320201,Texas,TX,Harris,320201,2443,0.84,126,5.25,95.17
295,73283,T48201320202,Texas,TX,Harris,320202,3648,0.79,126,5.25,93.31
296,73284,T48201320500,Texas,TX,Harris,320500,4300,2.27,126,5.25,88.55
297,73285,T48201320601,Texas,TX,Harris,320601,2474,0.55,126,5.25,89.2
298,73286,T48201320602,Texas,TX,Harris,320602,4460,0.59,126,5.25,87.55
299,73287,T48201320700,Texas,TX,Harris,320700,4550,1.35,126,5.25,91.98
300,73288,T48201320800,Texas,TX,Harris,320800,5023,1.14,126,5.25,99.67
301,73289,T48201320901,Texas,TX,Harris,320901,3758,0.41,126,5.25,98.17
302,73290,T48201320902,Texas,TX,Harris,320902,3722,0.5,126,5.25,97.99
303,73291,T48201321001,Texas,TX,Harris,321001,2776,0.51,126,0,0
304,73292,T48201321002,Texas,TX,Harris,321002,5450,1.04,126,5.25,97.02
305,73293,T48201321101,Texas,TX,Harris,321101,4008,1.16,126,5.25,76.14
306,73294,T48201321102,Texas,TX,Harris,321102,4098,1,126,0,0
307,73295,T48201321200,Texas,TX,Harris,321200,4512,1.16,126,0,0
308,73296,T48201321301,Texas,TX,Harris,321301,3364,0.22,126,5.25,99.5
309,73297,T48201321302,Texas,TX,Harris,321302,1892,0.4,126,5.25,98.57
310,73298,T48201321401,Texas,TX,Harris,321401,4321,0.81,126,5.25,88.73
311,73299,T48201321402,Texas,TX,Harris,321402,4077,0.76,126,5.25,94.66
312,73300,T48201321500,Texas,TX,Harris,321500,2717,0.37,126,5.25,99.14
313,73301,T48201321600,Texas,TX,Harris,321600,6792,1.13,126,5.25,96.58
314,73302,T48201321700,Texas,TX,Harris,321700,3108,0.76,126,5.25,85.48
315,73303,T48201321800,Texas,TX,Harris,321800,3927,0.51,126,5.25,86.15
316,73304,T48201321900,Texas,TX,Harris,321900,5657,0.96,126,0,0
317,73305,T48201322000,Texas,TX,Harris,322000,3771,0.28,126,5.25,92.54
318,73306,T48201322100,Texas,TX,Harris,322100,4142,0.85,126,5.25,85.28
319,73307,T48201322200,Texas,TX,Harris,322200,1831,0.37,126,5.25,94.41
320,73308,T48201322600,Texas,TX,Harris,322600,5237,0.97,126,5.25,45.8
321,73309,T48201322701,Texas,TX,Harris,322701,2807,0.31,126,0,0
322,73310,T48201322702,Texas,TX,Harris,322702,4336,0.5,126,5.25,82.78
323,73311,T48201322800,Texas,TX,Harris,322800,6246,1.22,126,0,0
324,73312,T48201322900,Texas,TX,Harris,322900,4072,0.65,126,5.25,83.54
325,73313,T48201323000,Texas,TX,Harris,323000,5821,0.55,126,5.25,63.04
326,73314,T48201323100,Texas,TX,Harris,323100,3492,0.8,126,0,0
327,73315,T48201323200,Texas,TX,Harris,323200,5595,0.82,126,5.25,78.92
328,73316,T48201323300,Texas,TX,Harris,323300,3397,0.51,126,0,0
329,73317,T48201323400,Texas,TX,Harris,323400,7275,0.78,126,5.25,92.28
